#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1680262357004614300,-0.109198,0.00088703,1.81432,0.999736,-0.0213826,0.00843819,0.000126409,-0.000102243,-0.000326711,-0.00242137,-0.000226931,0.00022911,9.81066e-06,0.00232548,0.00573465,0.133904
1680262357123395600,-0.109218,0.000839748,1.81419,0.999736,-0.0213621,0.00842412,0.000126468,-0.00010738,-0.000354773,-0.00264212,0.000332698,-0.00019839,-8.47627e-06,0.000572645,0.00140011,0.0328691
1680262357229003300,-0.109214,0.000820419,1.81421,0.999736,-0.0213642,0.00842304,0.000126463,0.00107847,-0.000275602,-0.00143595,0,0,0,0.112113,-0.0261593,-0.618763
1680262357343975400,-0.0845361,0.000232415,1.81376,0.999737,-0.0213337,0.00843906,0.000110567,0.352405,-0.0049891,-0.00707095,0.00141324,0.000313184,-0.000163059,1.36061,0.0217505,-0.110933
1680262357451914000,-0.0405524,-0.000466941,1.81306,0.999738,-0.0212834,0.00847675,1.45269e-05,0.399463,-0.00719585,-0.00741985,0.00156611,0.000618267,-0.0185826,0.0116248,0.0339687,0.130195
1680262357560571400,0.00766835,-0.00124325,1.81224,0.999738,-0.0212455,0.00853313,0.000444303,0.534504,-0.00626002,-0.0106661,0.000120288,0.000585741,0.00426212,2.02941,-0.0125669,-0.0196114
1680262357673324000,0.0943773,-0.00203712,1.81075,0.999737,-0.0212449,0.00866004,0.000402764,0.976345,-0.00689681,-0.0179581,-0.000325314,0.00258891,-0.000255249,4.59324,-0.00352475,-0.01942
1680262357779060500,0.224171,-0.00282521,1.80853,0.999735,-0.021252,0.00887187,0.00037131,1.41748,-0.00794837,-0.0261488,0.0010689,0.0040965,-0.0004621,3.57688,0.0137285,-0.663924
1680262357885217600,0.393101,-0.00370408,1.80551,0.999736,-0.021132,0.00906667,0.00031999,1.78736,-0.00742881,-0.0317957,0.00455864,0.00397445,-0.00100622,3.24177,0.00330891,0.112441
1680262357997568800,0.606483,-0.00470467,1.80167,0.999739,-0.0209172,0.00921857,0.00029812,1.8576,-0.00733237,-0.035308,0.0040155,0.00223224,7.64631e-05,-0.693623,0.0107133,-0.128358
1680262358104041500,0.797086,-0.00561532,1.79825,0.999741,-0.0207257,0.0093481,0.000300085,1.71883,-0.00748196,-0.0279531,0.0038854,0.00340672,0.000179136,-2.20964,-0.017688,0.481266
1680262358210621300,0.963587,-0.00647112,1.79522,0.999744,-0.020563,0.00947862,0.000302357,1.53106,-0.00681375,-0.029022,0.00204995,0.00177241,7.74748e-05,-1.23513,0.00159186,0.0454689
1680262358327179600,1.12764,-0.00736286,1.79239,0.999746,-0.0205061,0.00934749,0.000304663,1.24713,-0.00739007,-0.021772,-0.00017134,-0.00435942,-2.47179e-05,-2.10304,0.0081593,-0.0373523
1680262358436624700,1.25668,-0.00817738,1.79048,0.99975,-0.020513,0.00890416,0.000317936,1.12047,-0.00762343,-0.0118685,0.000170902,-0.0136568,0.000181691,-0.230645,-0.015983,0.786317
1680262358544203900,1.38546,-0.00892298,1.78843,0.999754,-0.020522,0.00841309,0.000298709,1.3916,-0.00743589,-0.02271,0.000231423,-0.00663614,-0.000504272,1.93208,0.00283386,-0.0167252
1680262358654497400,1.57112,-0.00987372,1.78557,0.999759,-0.0205301,0.00777335,0.000255432,1.78323,-0.00860369,-0.0286118,-0.000240892,-0.0119915,-0.00113508,3.6152,-0.00438563,0.0226623
1680262358762471800,1.78269,-0.0108658,1.78231,0.999764,-0.0205269,0.00708725,0.000205124,2.16276,-0.00993402,-0.0345747,-0.000548106,-0.0128212,-0.00118558,3.29549,-0.0196462,-0.561457
1680262358870324700,2.03814,-0.0120058,1.77835,0.999769,-0.0205363,0.00626567,0.000147929,2.54748,-0.0113621,-0.0351297,-0.000104398,-0.022618,-0.00201503,4.96549,-0.0263189,0.508975
1680262358972688500,2.31912,-0.013207,1.77455,0.999771,-0.0205365,0.00603664,8.05834e-05,2.88241,-0.0120712,-0.0368969,-4.15966e-05,0.000371878,-0.00115561,2.33466,-0.000853282,0.0587966
1680262359087770600,2.65898,-0.0146102,1.7704,0.99977,-0.0205357,0.0061304,4.65466e-05,2.90927,-0.012196,-0.0358608,-0.000991585,0.00195152,-0.000106179,-1.43896,-0.00928674,0.113826
1680262359194091400,2.94661,-0.0158523,1.76688,0.99977,-0.0205367,0.00621531,4.297e-05,2.69372,-0.0119085,-0.034338,-8.46624e-05,0.00107779,9.22002e-07,-1.80841,3.49446e-05,-0.105956
1680262359306005100,3.23587,-0.0171856,1.76337,0.999769,-0.0205436,0.00626747,4.00894e-05,2.3704,-0.0111617,-0.0301642,0.00027887,0.0014978,-4.9792e-05,-2.82399,0.015606,0.141154
